"","stat","pval","tf","pval.adjusted","rank"
"MA0761.2",-27.1156044087249,6.44816404516072e-162,"ETV1",4.8103303776899e-159,1
"MA0076.2",-25.865962760241,1.60968957585371e-147,"ELK4",6.00414211793435e-145,2
"MA0062.3",-25.7301165640783,5.38313115827291e-146,"GABPA",1.3386052813572e-143,3
"MA0598.3",-25.6481803417829,4.4314909514508e-145,"EHF",8.26473062445574e-143,4
"MA0764.2",-25.6274812594525,7.53998589771921e-145,"ETV4",1.12496589593971e-142,5
"MA0473.3",-25.5463080365936,6.03615945708149e-144,"ELF1",7.50495825830465e-142,6
"MA0760.1",-25.2363800534752,1.59852644047873e-140,"ERF",1.70357246371019e-138,7
"MA0750.2",-25.2071244524435,3.34716869172265e-140,"ZBTB7A",3.12123480503137e-138,8
"MA0645.1",-25.1242451837418,2.70344276073968e-139,"ETV6",2.24085366612422e-137,9
"MA0762.1",-25.1022117511767,4.70549759424624e-139,"ETV2",3.51030120530769e-137,10
"MA0098.3",-24.883447642365,1.12438182230657e-136,"ETS1",7.62535308582458e-135,11
"MA0474.2",-24.721510953291,6.28135776377788e-135,"ERG",3.90491074314858e-133,12
"MA0475.2",-24.5488513415997,4.44998559287625e-133,"FLI1",2.55360711714284e-131,13
"MA1484.1",-23.8972099354574,3.27507523927351e-126,"ETS2",1.62880408566536e-124,14
"MA0640.2",-23.7736347683078,6.26129080752058e-125,"ELF3",2.91932683900647e-123,15
"MA0765.2",-23.7483221852555,1.14375294888016e-124,"ETV5",5.01905705802705e-123,16
"MA0156.2",-23.4526400820556,1.24269349932294e-121,"FEV",5.15027416941619e-120,17
"MA0759.1",-22.9209128234473,2.87553948606181e-116,"ELK3",1.07257622830106e-114,18
"MA0652.1",-22.9182948941725,3.05370768955005e-116,"IRF8",1.08479330304968e-114,19
"MA1508.1",-22.8565450225155,1.25828845187856e-115,"IKZF1",4.26674175046092e-114,20
"MA0772.1",-22.67613219717,7.70908844762193e-114,"IRF7",2.50042607909824e-112,21
"MA0517.1",-22.4834243638577,6.03169953231747e-112,"STAT1::STAT2",1.87485327129535e-110,22
"MA1513.1",-22.1419050425073,1.24874204143935e-108,"KLF15",3.72624625165502e-107,23
"MA1483.1",-21.9979088544134,3.01630116112793e-107,"ELF2",8.48606903286354e-106,24
"MA0641.1",-21.9970881315732,3.07136546765839e-107,"ELF4",8.48606903286354e-106,25
"MA0050.2",-21.9927554099347,3.37912128975359e-107,"IRF1",9.00294457912922e-106,26
"MA0653.1",-21.7771429727611,3.82257017227239e-105,"IRF9",9.83323223625932e-104,27
"MA0136.2",-21.4470946783084,4.8618259399482e-102,"ELF5",1.20897405040045e-100,28
"MA0763.1",-21.4215474399005,8.4164541660738e-102,"ETV3",2.02537897028744e-100,29
"MA1419.1",-21.4055165918687,1.18723411619904e-101,"IRF4",2.76773953338902e-100,30
"MA0081.2",-20.8890165670121,6.74067691842556e-97,"SPIB",1.39681805031818e-95,31
"MA0028.2",-20.7359621441945,1.64173470024977e-95,"ELK1",3.22298443785876e-94,32
"MA1418.1",-20.4035722440963,1.55466682722037e-92,"IRF3",2.89945363276599e-91,33
"MA0685.1",-20.1169536825707,5.24426094926516e-90,"SP4",9.31480635274241e-89,34
"MA0687.1",-19.7442923231283,8.98318428207774e-87,"SPIC",1.5584780173093e-85,35
"MA0079.4",-19.6642970738358,4.36255176494201e-86,"SP1",7.39650821965168e-85,36
