"","stat","pval","tf","pval.adjusted","rank"
"MA0139.1",-20.1987956206155,1.00334194675415e-90,"CTCF",1.49698618455719e-88,1
"MA0765.2",-16.9889367639331,9.91873726874522e-65,"ETV5",4.11076555693552e-63,2
"MA1483.1",-16.9081700480293,3.91749288039707e-64,"ELF2",1.53813141514538e-62,3
"MA0506.1",-16.7766367379758,3.61812829384912e-63,"NRF1",1.22687441236884e-61,4
"MA0076.2",-16.625131470226,4.58436117856138e-62,"ELK4",1.48692758226382e-60,5
"MA0028.2",-16.3169730591682,7.47635584444331e-60,"ELK1",2.23094458398188e-58,6
"MA0750.2",-16.1480490737476,1.17229380705712e-58,"ZBTB7A",3.36358146178697e-57,7
"MA0641.1",-16.1096342090072,2.18346668594226e-58,"ELF4",6.03283758412194e-57,8
"MA0137.3",-16.0534901377131,5.40466837799854e-58,"STAT1",1.39030434827135e-56,9
"MA1516.1",-14.7281713280275,4.25114908093603e-49,"KLF3",8.1316851650725e-48,10
"MA0519.1",-14.1479717054777,1.92249191406182e-45,"Stat5a::Stat5b",3.25949765429572e-44,11
"MA0759.1",-13.8826770852171,8.06848536623365e-44,"ELK3",1.28065746451283e-42,12
"MA1624.1",-13.5289219531075,1.05574684776329e-41,"Stat5a",1.64080655923211e-40,13
"MA0645.1",-13.4789745822135,2.08005238624289e-41,"ETV6",3.10343816027439e-40,14
"MA0763.1",-13.4758626091169,2.1696445681362e-41,"ETV3",3.17363695652863e-40,15
"MA0518.1",-13.3610755046017,1.02092223726148e-40,"Stat4",1.43699620565483e-39,16
"MA0740.1",-13.067163564584,5.07283558171187e-39,"KLF14",6.88060971628555e-38,17
"MA0156.2",-13.029383537934,8.32886564816327e-39,"FEV",1.10952388813032e-37,18
"MA0742.1",-12.6904727003713,6.67899636555207e-37,"Klf12",7.90877982333626e-36,19
"MA1102.2",-12.6231297770701,1.57457284995948e-36,"CTCFL",1.80712514779965e-35,20
"MA0475.2",-12.6075253293255,1.91949525877094e-36,"FLI1",2.16961130764109e-35,21
"MA0079.4",-12.4960053218842,7.85074257606694e-36,"SP1",8.61272641433226e-35,22
"MA1625.1",-12.3324576336888,6.05782302601742e-35,"Stat5b",6.36498024987183e-34,23
"MA0095.2",-12.0044554706338,3.3671320232892e-33,"YY1",3.34917398583165e-32,24
"MA1418.1",-11.9143452857601,9.96577735475627e-33,"IRF3",9.53137167518997e-32,25
"MA1513.1",-11.7140311574899,1.08031576282029e-31,"KLF15",9.82823852516992e-31,26
"MA0493.1",-11.6140036070931,3.4988350396781e-31,"Klf1",3.07074228188219e-30,27
"MA0164.1",-10.9671514607123,5.49833722926244e-28,"Nr2e3",4.50742810223053e-27,28
