"count" "threshold" "smoothed_threshold"
"0.1" 43308 0.0197067684020599 0.0197067684020599
"0.3" 39819 0.0195182538941225 0.0195182538941225
"0.5" 37926 0.0196881672714076 0.018818477131215
"0.7" 35375 0.0171530860506393 0.0176118086965508
"0.9" 33525 0.0180261100378457 0.0167781767115768
"1.1" 30915 0.0136734262287388 0.0163105698787254
"1.3" 29831 0.0153500939692525 0.0160385330393729
"1.5" 27868 0.0173501331071507 0.017362342633218
"1.7" 26655 0.0157929018538768 0.0177209411820766
"1.9" 25572 0.0246451580070715 0.0200851381253203
"2.1" 23259 0.0154664189730317 0.0251752594999304
"2.3" 22154 0.0271710786854709 0.0300914604022577
"2.5" 20817 0.0428007399802011 0.0483922683665255
"2.7" 19367 0.040373906365513 0.0612706116827457
"2.9" 18647 0.116149197828411 0.0899553790897516
"3.1" 17193 0.0798581355541326 0.130832628253108
"3.3" 16300 0.1705949157205 0.175380898264032
"3.5" 15298 0.247186985796985 0.225035724203747
"3.7" 14371 0.263115256420132 1.18418076665593
"3.9" 14011 0.364423327526984 1.15681733492881
"4.1" 1498 4.87558334781505 1.21050528725078
"4.3" 22964 0.0337777570849261 1.25936414539015
"4.5" 11487 0.515626747406824 1.30043376572307
"4.7" 10597 0.507409547116953 1.60470167974605
"4.9" 10298 0.569771429191615 1.60838202634449
"5.1" 1070 6.39692291792993 1.59235929813898
"5.3" 16964 0.052179490077127 1.56635355227944
"5.5" 8404 0.435513106379289 1.53934545694374
"5.7" 7818 0.37738081781926 1.05031220605304
"5.9" 7470 0.434730952513074 1.05054361994656
"6.1" 698 3.95175666347644 1.05993369698911
"6.3" 12927 0.0533365595447187 1.06730532273716
"6.5" 6549 0.48246349159208 1.08363195247143
"6.7" 6272 0.414238946559509 1.50843150241874
"6.9" 6162 0.516364101184401 1.52315424183037
"7.1" 597 6.075754413213 1.55272965843179
"7.3" 10604 0.126950256602836 1.57767142774318
"7.5" 5524 0.630340574599219 1.63167115021142
"7.7" 5481 0.538947793116462 0.517278542295919
"7.9" 5456 0.786362713525556 0.626875919284965
"8.1" 4981 0.50379137363552 0.668874543151353
"8.3" 5067 0.674937141548066 0.709837520362283
"8.5" 5074 0.840333693931159 0.750481400224061
"8.7" 4935 0.743762679171113 0.825290228747809
"8.9" 5062 0.989582112834446 0.873787090820898
"9.1" 4738 0.87783551625426 0.892945878545052
"9.3" 4688 0.917421451913514 0.914687127153258
"9.5" 4737 0.936127632551926 0.927750792318866
"9.7" 4640 0.852468922212145 0.938979370330308
"9.9" 4806 1.05490043866248 0.955283324593063
"10.1" 4440 0.933978406311472 0.980370707051589
"10.3" 4517 0.998941223227284 1.02278059656194
"10.5" 4725 1.06156454484456 1.07343767246446
"10.7" 4468 1.06451836976392 1.08606946770281
"10.9" 4563 1.30818581817509 1.12428986722804
"11.1" 4175 0.99713738250322 1.18043049036529
"11.3" 4250 1.19004322085342 1.16933721092268
"11.5" 4418 1.34226766053082 1.19263813527369
"11.7" 4208 1.00905197255087 1.22749669317131
"11.9" 4336 1.4246904399301 1.24412168391703
"12.1" 4097 1.17143017199136 1.23681682429596
"12.3" 4174 1.273168174582 1.32667980027835
"12.5" 4121 1.30574336242549 1.34063908231068
"12.7" 4165 1.45836685246282 1.36355763324675
"12.9" 4203 1.49448685009171 1.37408701511655
"13.1" 3781 1.28602292667174 1.43611490336888
"13.3" 3974 1.325815083931 1.45507744357867
"13.5" 3981 1.61588280368714 1.46844099095975
"13.7" 3953 1.55317955351178 1.53117751577875
"13.9" 3994 1.5613045869971 1.59919718606398
"14.1" 3778 1.59970555076672 1.64700284171472
"14.3" 3885 1.66591343535717 1.68251097723358
"14.5" 3925 1.85491108194083 1.73288851388524
"14.7" 3887 1.73072023110606 1.75052397888128
"14.9" 3927 1.81319227025543 1.78858585574038
"15.1" 3688 1.68788287574693 1.79860613384272
"15.3" 3663 1.85622281965266 1.85978984264524
"15.5" 3783 1.90501247245253 1.93099768772774
"15.7" 3572 2.03663877511868 1.9651499116699
"15.9" 3818 2.1692314956679 2.02393836119728
"16.1" 3553 1.85864399545776 2.05840819889367
"16.3" 3556 2.15016506728956 2.07935113136691
"16.5" 3802 2.07736166093448 2.11501364006121
"16.7" 3474 2.14135343748488 2.16471276223063
"16.9" 3753 2.34754403913938 2.2088111025844
"17.1" 3354 2.10713960630485 2.29010722673301
"17.3" 3421 2.37065676905842 2.377120111197
"17.5" 3612 2.48384228167752 2.39578699682572
"17.7" 3289 2.57641785980485 2.43464061374496
"17.9" 3487 2.44087846728298 2.46398505427556
"18.1" 3198 2.30140769090102 2.47861011684649
"18.3" 3261 2.51737897171144 2.52979377544615
"18.5" 3422 2.55696759453217 2.59126146429239
"18.7" 3238 2.83233615280314 2.65095386212529
"18.9" 3484 2.74821691151417 2.696009417388
"19.1" 2973 2.59986968006552 2.75374121758046
"19.3" 3028 2.74265674802498 2.74136925591034
